Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,6.77,93.23,68.42,26.82,3.83,0.00,192
2023-06-20,6.49,93.51,61.07,17.31,2.82,0.00,175
2023-06-13,10.80,89.20,50.27,8.66,1.31,0.00,149
2023-06-06,14.86,85.14,32.64,5.24,1.26,0.00,124
2023-05-30,31.95,68.05,16.31,4.11,1.11,0.00,90
2023-05-23,70.93,29.07,9.56,2.26,0.19,0.00,41
2023-05-16,75.87,24.13,8.27,2.11,0.19,0.00,35
2023-05-09,67.66,32.34,10.16,4.19,0.48,0.03,47
2023-05-02,68.54,31.46,8.40,2.81,0.17,0.07,43
2023-04-25,80.29,19.71,5.60,1.30,0.16,0.07,27
2023-04-18,82.09,17.91,5.64,1.94,0.19,0.07,26
2023-04-11,81.74,18.26,5.92,1.94,0.19,0.07,26
2023-04-04,81.41,18.59,5.94,1.94,0.19,0.07,27
2023-03-28,82.35,17.65,6.84,1.94,0.19,0.07,27
2023-03-21,82.02,17.98,7.35,1.94,0.19,0.07,28
2023-03-14,82.03,17.97,8.06,1.91,0.19,0.07,28
2023-03-07,78.63,21.37,10.36,1.91,0.19,0.07,34
2023-02-28,75.44,24.56,11.08,2.51,0.19,0.07,38
2023-02-21,68.18,31.82,15.02,3.64,0.19,0.07,51
2023-02-14,67.57,32.43,17.73,5.86,1.06,0.07,57
2023-02-07,59.68,40.32,19.08,6.22,1.08,0.07,67
2023-01-31,56.15,43.85,19.39,6.22,1.08,0.07,71
2023-01-24,52.24,47.76,19.56,6.23,1.08,0.07,75
2023-01-17,46.68,53.32,20.61,6.23,1.08,0.07,81
2023-01-10,46.20,53.80,20.73,6.29,1.08,0.07,82
2023-01-03,38.78,61.22,30.48,8.35,1.08,0.07,101
2022-12-27,32.55,67.45,39.86,8.62,1.08,0.07,117
2022-12-20,34.98,65.02,36.11,8.62,1.08,0.07,111
2022-12-13,30.24,69.76,40.58,10.37,2.47,0.07,123
2022-12-06,29.88,70.12,41.45,9.66,2.60,0.07,124
2022-11-29,28.59,71.41,40.68,9.07,2.60,0.07,124
2022-11-22,27.61,72.39,43.00,10.24,2.95,0.07,129
2022-11-15,28.18,71.82,42.46,10.19,2.95,0.07,127
2022-11-08,25.30,74.70,44.18,12.37,3.23,0.07,135
2022-11-01,20.59,79.41,45.92,16.02,4.09,0.02,145
2022-10-25,19.07,80.93,48.18,15.47,3.41,0.02,148
2022-10-18,22.41,77.59,41.05,15.76,3.82,0.39,139
2022-10-11,26.02,73.98,30.26,12.02,3.67,0.39,120
2022-10-04,36.43,63.57,25.91,10.35,3.21,0.29,103
2022-09-27,51.98,48.02,21.35,6.29,1.36,0.29,77
2022-09-20,59.00,41.00,15.15,4.90,0.67,0.00,62
2022-09-13,64.90,35.10,11.12,4.19,0.83,0.00,51
2022-09-06,69.43,30.57,10.93,3.51,0.41,0.00,45
2022-08-30,69.77,30.23,11.10,3.34,0.39,0.00,45
2022-08-23,67.69,32.31,13.84,3.68,0.49,0.00,50
2022-08-16,64.47,35.53,15.62,5.68,0.62,0.00,57
2022-08-09,64.25,35.75,15.83,6.08,0.79,0.00,58
2022-08-02,59.26,40.74,18.81,7.43,2.59,0.00,70
2022-07-26,57.80,42.20,15.36,6.87,3.17,0.00,68
2022-07-19,56.96,43.04,15.88,6.43,0.62,0.00,66
2022-07-12,59.05,40.95,15.37,1.60,0.30,0.00,58
2022-07-05,51.72,48.28,11.45,1.60,0.30,0.00,62
2022-06-28,58.66,41.34,4.97,0.90,0.19,0.00,47
2022-06-21,77.77,22.23,2.47,0.72,0.00,0.00,25
2022-06-14,90.92,9.08,1.15,0.42,0.00,0.00,11
2022-06-07,91.03,8.97,0.85,0.27,0.00,0.00,10
2022-05-31,91.28,8.72,0.85,0.27,0.00,0.00,10
2022-05-24,90.42,9.58,0.85,0.27,0.00,0.00,11
2022-05-17,90.70,9.30,0.85,0.27,0.00,0.00,10
2022-05-10,90.47,9.53,0.85,0.27,0.00,0.00,11
2022-05-03,88.61,11.39,1.60,0.34,0.00,0.00,13
2022-04-26,87.33,12.67,1.58,0.29,0.00,0.00,15
2022-04-19,79.77,20.23,6.03,0.29,0.00,0.00,27
2022-04-12,78.43,21.57,7.39,0.28,0.00,0.00,29
2022-04-05,72.74,27.26,7.96,0.28,0.00,0.00,35
2022-03-29,68.11,31.89,11.11,0.37,0.00,0.00,43
2022-03-22,55.50,44.50,15.84,2.57,0.00,0.00,63
2022-03-15,53.26,46.74,18.60,2.57,0.00,0.00,68
2022-03-08,53.26,46.74,19.15,2.29,0.00,0.00,68
2022-03-01,50.99,49.01,21.04,2.48,0.00,0.00,73
2022-02-22,51.20,48.80,20.60,2.48,0.00,0.00,72
2022-02-15,48.14,51.86,23.06,2.60,0.00,0.00,78
2022-02-08,50.97,49.03,20.01,2.14,0.00,0.00,71
2022-02-01,52.99,47.01,18.08,2.14,0.00,0.00,67
2022-01-25,57.66,42.34,17.02,2.26,0.00,0.00,62
2022-01-18,59.43,40.57,16.88,2.26,0.00,0.00,60
2022-01-11,59.81,40.19,16.88,2.26,0.00,0.00,59
2022-01-04,60.09,39.91,16.60,2.62,0.00,0.00,59
2021-12-28,56.84,43.16,17.52,2.73,0.00,0.00,63
2021-12-21,57.88,42.12,18.66,3.99,0.00,0.00,65
2021-12-14,56.16,43.84,19.55,5.63,0.25,0.00,69
2021-12-07,57.15,42.85,18.97,5.31,0.25,0.00,67
2021-11-30,57.78,42.22,18.80,5.31,0.25,0.00,67
2021-11-23,62.64,37.36,19.35,5.40,0.58,0.00,63
2021-11-16,63.20,36.80,19.35,5.40,0.58,0.00,62
2021-11-09,59.99,40.01,21.13,5.80,1.23,0.00,68
