Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,34.94,65.06,25.17,1.37,0.00,0.00,92
2023-06-20,28.52,71.48,34.13,1.52,0.00,0.00,107
2023-06-13,27.85,72.15,32.00,0.00,0.00,0.00,104
2023-06-06,32.32,67.68,20.27,0.00,0.00,0.00,88
2023-05-30,50.39,49.61,2.35,0.00,0.00,0.00,52
2023-05-23,86.86,13.14,0.40,0.00,0.00,0.00,14
2023-05-16,82.49,17.51,0.50,0.00,0.00,0.00,18
2023-05-09,87.37,12.63,0.51,0.00,0.00,0.00,13
2023-05-02,84.22,15.78,0.64,0.00,0.00,0.00,16
2023-04-25,72.19,27.81,6.15,0.00,0.00,0.00,34
2023-04-18,74.97,25.03,6.49,0.00,0.00,0.00,32
2023-04-11,82.24,17.76,2.35,0.00,0.00,0.00,20
2023-04-04,89.24,10.76,1.68,0.00,0.00,0.00,12
2023-03-28,92.34,7.66,1.30,0.00,0.00,0.00,9
2023-03-21,95.91,4.09,0.00,0.00,0.00,0.00,4
2023-03-14,98.29,1.71,0.00,0.00,0.00,0.00,2
2023-03-07,98.29,1.71,0.00,0.00,0.00,0.00,2
2023-02-28,94.27,5.73,0.00,0.00,0.00,0.00,6
2023-02-21,96.42,3.58,0.00,0.00,0.00,0.00,4
2023-02-14,96.04,3.96,0.00,0.00,0.00,0.00,4
2023-02-07,96.50,3.50,0.00,0.00,0.00,0.00,4
2023-01-31,96.83,3.17,0.21,0.00,0.00,0.00,3
2023-01-24,95.28,4.72,0.21,0.00,0.00,0.00,5
2023-01-17,94.05,5.95,0.21,0.00,0.00,0.00,6
2023-01-10,92.61,7.39,0.21,0.00,0.00,0.00,8
2023-01-03,90.64,9.36,0.21,0.00,0.00,0.00,10
2022-12-27,90.59,9.41,0.21,0.00,0.00,0.00,10
2022-12-20,90.49,9.51,1.44,0.00,0.00,0.00,11
2022-12-13,88.20,11.80,1.86,0.13,0.00,0.00,14
2022-12-06,89.03,10.97,2.03,0.13,0.00,0.00,13
2022-11-29,89.43,10.57,2.06,0.13,0.00,0.00,13
2022-11-22,89.68,10.32,1.98,0.13,0.00,0.00,12
2022-11-15,88.94,11.06,2.04,0.19,0.00,0.00,13
2022-11-08,69.98,30.02,2.78,0.37,0.00,0.00,33
2022-11-01,79.09,20.91,2.15,0.37,0.00,0.00,23
2022-10-25,81.30,18.70,2.26,0.37,0.00,0.00,21
2022-10-18,84.49,15.51,4.61,0.44,0.00,0.00,21
2022-10-11,78.68,21.32,9.24,1.68,0.14,0.00,32
2022-10-04,73.82,26.18,10.61,3.20,0.14,0.00,40
2022-09-27,69.23,30.77,12.95,3.83,0.14,0.00,48
2022-09-20,52.08,47.92,18.65,7.37,0.27,0.00,74
2022-09-13,49.45,50.55,20.08,8.25,0.49,0.00,79
2022-09-06,42.74,57.26,19.87,9.23,0.49,0.00,87
2022-08-30,40.91,59.09,23.76,11.00,1.98,0.00,96
2022-08-23,49.73,50.27,22.58,10.20,2.48,0.00,86
2022-08-16,49.35,50.65,21.83,9.71,2.48,0.00,85
2022-08-09,50.09,49.91,18.80,5.76,1.15,0.00,76
2022-08-02,51.08,48.92,23.37,5.36,0.00,0.00,78
2022-07-26,50.54,49.46,21.07,2.80,0.00,0.00,73
2022-07-19,52.72,47.28,22.42,1.21,0.00,0.00,71
2022-07-12,53.08,46.92,20.42,1.00,0.00,0.00,68
2022-07-05,63.52,36.48,12.80,0.00,0.00,0.00,49
2022-06-28,70.69,29.31,7.46,0.00,0.00,0.00,37
2022-06-21,82.62,17.38,2.38,0.00,0.00,0.00,20
2022-06-14,86.69,13.31,2.38,0.00,0.00,0.00,16
2022-06-07,85.65,14.35,2.23,0.00,0.00,0.00,17
2022-05-31,88.12,11.88,2.70,0.00,0.00,0.00,15
2022-05-24,84.88,15.12,2.24,0.00,0.00,0.00,17
2022-05-17,85.14,14.86,1.12,0.00,0.00,0.00,16
2022-05-10,91.93,8.07,1.26,0.00,0.00,0.00,9
2022-05-03,81.74,18.26,1.36,0.00,0.00,0.00,20
2022-04-26,81.37,18.63,1.24,0.00,0.00,0.00,20
2022-04-19,81.37,18.63,1.24,0.00,0.00,0.00,20
2022-04-12,78.58,21.42,2.12,0.67,0.00,0.00,24
2022-04-05,67.03,32.97,3.51,0.67,0.00,0.00,37
2022-03-29,71.90,28.10,3.13,0.67,0.00,0.00,32
2022-03-22,70.79,29.21,3.13,0.67,0.00,0.00,33
2022-03-15,73.37,26.63,2.78,0.67,0.00,0.00,30
2022-03-08,74.28,25.72,3.63,0.85,0.00,0.00,30
2022-03-01,82.27,17.73,2.04,0.85,0.00,0.00,21
2022-02-22,82.28,17.72,2.04,0.85,0.00,0.00,21
2022-02-15,82.28,17.72,2.04,0.85,0.00,0.00,21
2022-02-08,81.36,18.64,2.04,0.85,0.00,0.00,22
2022-02-01,81.59,18.41,2.04,0.85,0.00,0.00,21
2022-01-25,89.35,10.65,2.04,0.85,0.00,0.00,14
2022-01-18,87.46,12.54,2.04,0.85,0.00,0.00,15
2022-01-11,86.89,13.11,2.04,0.85,0.00,0.00,16
2022-01-04,84.91,15.09,2.17,0.85,0.00,0.00,18
2021-12-28,77.53,22.47,3.42,0.85,0.00,0.00,27
2021-12-21,77.53,22.47,2.29,0.85,0.00,0.00,26
2021-12-14,82.68,17.32,2.04,0.85,0.00,0.00,20
2021-12-07,88.83,11.17,2.04,0.85,0.00,0.00,14
2021-11-30,90.30,9.70,2.04,0.85,0.00,0.00,13
2021-11-23,91.59,8.41,2.04,0.85,0.00,0.00,11
2021-11-16,91.89,8.11,2.04,0.85,0.00,0.00,11
2021-11-09,92.03,7.97,2.04,0.85,0.00,0.00,11
2021-11-02,92.54,7.46,2.04,1.07,0.00,0.00,11
2021-10-26,86.61,13.39,2.94,1.07,0.00,0.00,17
2021-10-19,86.61,13.39,2.94,1.07,0.00,0.00,17
2021-10-12,85.54,14.46,3.01,1.07,0.00,0.00,19
2021-10-05,89.75,10.25,3.01,0.80,0.00,0.00,14
2021-09-28,90.30,9.70,3.14,0.80,0.00,0.00,14
2021-09-21,86.21,13.79,5.83,0.80,0.00,0.00,20
2021-09-14,85.14,14.86,6.08,0.80,0.00,0.00,22
2021-09-07,83.08,16.92,10.50,1.50,0.00,0.00,29
2021-08-31,77.08,22.92,12.13,1.54,0.00,0.00,37
2021-08-24,77.36,22.64,10.59,1.54,0.00,0.00,35
2021-08-17,69.78,30.22,11.13,1.50,0.00,0.00,43
2021-08-10,69.18,30.82,11.13,1.50,0.00,0.00,43
2021-08-03,72.40,27.60,9.58,1.50,0.00,0.00,39
2021-07-27,77.06,22.94,8.69,1.38,0.00,0.00,33
2021-07-20,77.09,22.91,11.14,1.58,0.00,0.00,36
2021-07-13,69.89,30.11,12.85,1.47,0.00,0.00,44
2021-07-06,60.40,39.60,21.02,3.51,0.00,0.00,64
2021-06-29,58.59,41.41,20.05,3.51,0.00,0.00,65
2021-06-22,58.57,41.43,19.45,1.11,0.00,0.00,62
2021-06-15,59.01,40.99,13.84,0.00,0.00,0.00,55
2021-06-08,56.12,43.88,9.32,0.00,0.00,0.00,53
2021-06-01,59.73,40.27,2.83,0.00,0.00,0.00,43
2021-05-25,52.41,47.59,2.83,0.00,0.00,0.00,50
2021-05-18,73.46,26.54,2.05,0.00,0.00,0.00,29
2021-05-11,74.62,25.38,2.05,0.00,0.00,0.00,27
2021-05-04,42.83,57.17,9.06,0.00,0.00,0.00,66
2021-04-27,45.90,54.10,13.54,0.00,0.00,0.00,68
2021-04-20,51.74,48.26,15.10,0.00,0.00,0.00,63
2021-04-13,52.26,47.74,15.10,0.00,0.00,0.00,63
2021-04-06,59.87,40.13,10.27,0.00,0.00,0.00,50
2021-03-30,62.96,37.04,8.69,0.00,0.00,0.00,46
2021-03-23,70.01,29.99,4.74,0.00,0.00,0.00,35
2021-03-16,74.47,25.53,3.90,0.00,0.00,0.00,29
2021-03-09,76.22,23.78,3.90,0.00,0.00,0.00,28
2021-03-02,81.84,18.16,3.90,0.00,0.00,0.00,22
2021-02-23,81.84,18.16,3.90,0.00,0.00,0.00,22
2021-02-16,81.84,18.16,3.90,0.00,0.00,0.00,22
2021-02-09,81.84,18.16,3.90,0.00,0.00,0.00,22
2021-02-02,81.51,18.49,4.60,0.00,0.00,0.00,23
2021-01-26,79.64,20.36,4.60,0.00,0.00,0.00,25
2021-01-19,79.16,20.84,3.83,0.00,0.00,0.00,25
2021-01-12,78.69,21.31,3.83,0.00,0.00,0.00,25
2021-01-05,79.50,20.50,3.63,0.00,0.00,0.00,24
2020-12-29,77.60,22.40,3.63,0.00,0.00,0.00,26
2020-12-22,60.32,39.68,16.88,0.00,0.00,0.00,57
2020-12-15,60.32,39.68,16.88,0.44,0.00,0.00,57
2020-12-08,54.23,45.77,14.75,0.44,0.00,0.00,61
2020-12-01,45.91,54.09,21.07,1.73,0.43,0.00,77
2020-11-24,43.80,56.20,33.40,4.04,0.75,0.00,94
2020-11-17,40.62,59.38,34.03,4.51,0.75,0.00,99
2020-11-10,38.58,61.42,37.47,6.22,0.59,0.00,106
2020-11-03,38.85,61.15,37.12,6.22,0.59,0.00,105
2020-10-27,28.93,71.07,47.16,10.91,1.99,0.00,131
2020-10-20,29.24,70.76,50.04,10.66,1.99,0.00,133
2020-10-13,32.77,67.23,49.32,24.55,5.82,0.00,147
2020-10-06,32.77,67.23,49.32,27.24,5.82,0.00,150
2020-09-29,29.84,70.16,45.31,26.26,3.89,0.00,146
2020-09-22,42.13,57.87,36.67,21.91,2.70,0.00,119
2020-09-15,46.63,53.37,34.37,15.27,1.31,0.00,104
2020-09-08,47.86,52.14,31.97,9.99,0.00,0.00,94
2020-09-01,46.06,53.94,27.95,9.23,0.00,0.00,91
2020-08-25,39.82,60.18,37.17,9.71,0.00,0.00,107
