Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,15.42,84.58,55.14,19.01,2.65,0.00,161
2023-06-20,13.25,86.75,52.80,12.46,1.95,0.00,154
2023-06-13,16.03,83.97,44.66,6.00,0.91,0.00,136
2023-06-06,20.22,79.78,28.84,3.63,0.87,0.00,113
2023-05-30,37.61,62.39,12.03,2.85,0.77,0.00,78
2023-05-23,75.82,24.18,6.75,1.57,0.13,0.00,33
2023-05-16,77.90,22.10,5.88,1.46,0.13,0.00,30
2023-05-09,73.71,26.29,7.19,2.90,0.33,0.02,37
2023-05-02,73.36,26.64,6.01,1.95,0.12,0.05,35
2023-04-25,77.81,22.19,5.77,0.90,0.11,0.05,29
2023-04-18,79.90,20.10,5.90,1.34,0.13,0.05,28
2023-04-11,81.90,18.10,4.83,1.34,0.13,0.05,24
2023-04-04,83.81,16.19,4.63,1.34,0.13,0.05,22
2023-03-28,85.42,14.58,5.14,1.34,0.13,0.05,21
2023-03-21,86.28,13.72,5.10,1.34,0.13,0.05,20
2023-03-14,87.02,12.98,5.58,1.32,0.13,0.05,20
2023-03-07,84.67,15.33,7.18,1.32,0.13,0.05,24
2023-02-28,81.22,18.78,7.68,1.74,0.13,0.05,28
2023-02-21,76.85,23.15,10.41,2.52,0.13,0.05,36
2023-02-14,76.31,23.69,12.29,4.06,0.73,0.05,41
2023-02-07,70.98,29.02,13.22,4.31,0.75,0.05,47
2023-01-31,68.63,31.37,13.50,4.31,0.75,0.05,50
2023-01-24,65.45,34.55,13.62,4.32,0.75,0.05,53
2023-01-17,61.22,38.78,14.35,4.32,0.75,0.05,58
2023-01-10,60.45,39.55,14.43,4.36,0.75,0.05,59
2023-01-03,54.70,45.30,21.19,5.78,0.75,0.05,73
2022-12-27,50.37,49.63,27.69,5.98,0.75,0.05,84
2022-12-20,52.02,47.98,25.47,5.98,0.75,0.05,80
2022-12-13,48.03,51.97,28.69,7.23,1.71,0.05,90
2022-12-06,48.04,51.96,29.35,6.74,1.80,0.05,90
2022-11-29,47.27,52.73,28.83,6.32,1.80,0.05,90
2022-11-22,46.66,53.34,30.41,7.14,2.04,0.05,93
2022-11-15,46.83,53.17,30.05,7.12,2.04,0.05,92
2022-11-08,39.01,60.99,31.47,8.69,2.24,0.05,103
2022-11-01,38.55,61.45,32.48,11.21,2.84,0.01,108
2022-10-25,38.17,61.83,34.08,10.83,2.36,0.01,109
2022-10-18,41.47,58.53,29.86,11.06,2.65,0.27,102
2022-10-11,42.18,57.82,23.80,8.85,2.59,0.27,93
2022-10-04,47.90,52.10,21.21,8.15,2.27,0.20,84
2022-09-27,57.27,42.73,18.77,5.54,0.98,0.20,68
2022-09-20,56.87,43.13,16.22,5.66,0.55,0.00,66
2022-09-13,60.16,39.84,13.87,5.44,0.72,0.00,60
2022-09-06,61.23,38.77,13.67,5.27,0.43,0.00,58
2022-08-30,60.91,39.09,14.99,5.69,0.88,0.00,61
2022-08-23,62.18,37.82,16.52,5.68,1.10,0.00,61
2022-08-16,59.83,40.17,17.53,6.91,1.19,0.00,66
2022-08-09,59.90,40.10,16.74,5.98,0.90,0.00,64
2022-08-02,56.75,43.25,20.21,6.79,1.79,0.00,72
2022-07-26,55.57,44.43,17.12,5.62,2.20,0.00,69
2022-07-19,55.66,44.34,17.89,4.83,0.43,0.00,67
2022-07-12,57.22,42.78,16.92,1.42,0.21,0.00,61
2022-07-05,55.34,44.66,11.86,1.11,0.21,0.00,58
2022-06-28,62.35,37.65,5.74,0.63,0.13,0.00,44
2022-06-21,79.26,20.74,2.44,0.50,0.00,0.00,24
2022-06-14,89.62,10.38,1.52,0.29,0.00,0.00,12
2022-06-07,89.38,10.62,1.28,0.19,0.00,0.00,12
2022-05-31,90.31,9.69,1.42,0.19,0.00,0.00,11
2022-05-24,88.72,11.28,1.28,0.19,0.00,0.00,13
2022-05-17,89.00,11.00,0.94,0.19,0.00,0.00,12
2022-05-10,90.92,9.08,0.98,0.19,0.00,0.00,10
2022-05-03,86.50,13.50,1.53,0.23,0.00,0.00,15
2022-04-26,85.50,14.50,1.48,0.20,0.00,0.00,16
2022-04-19,80.26,19.74,4.56,0.20,0.00,0.00,25
2022-04-12,78.47,21.53,5.77,0.40,0.00,0.00,28
2022-04-05,70.99,29.01,6.59,0.40,0.00,0.00,36
2022-03-29,69.28,30.72,8.66,0.46,0.00,0.00,40
2022-03-22,60.20,39.80,11.94,1.99,0.00,0.00,54
2022-03-15,59.44,40.56,13.74,1.99,0.00,0.00,56
2022-03-08,59.71,40.29,14.38,1.84,0.00,0.00,57
2022-03-01,60.59,39.41,15.21,1.98,0.00,0.00,57
2022-02-22,60.74,39.26,14.90,1.98,0.00,0.00,56
2022-02-15,58.62,41.38,16.60,2.06,0.00,0.00,60
2022-02-08,60.30,39.70,14.49,1.75,0.00,0.00,56
2022-02-01,61.77,38.23,13.16,1.75,0.00,0.00,53
2022-01-25,67.39,32.61,12.42,1.82,0.00,0.00,47
2022-01-18,68.03,31.97,12.32,1.82,0.00,0.00,46
2022-01-11,68.13,31.87,12.33,1.82,0.00,0.00,46
2022-01-04,67.71,32.29,12.17,2.08,0.00,0.00,47
2021-12-28,63.19,36.81,13.19,2.15,0.00,0.00,52
2021-12-21,63.91,36.09,13.63,3.03,0.00,0.00,53
2021-12-14,64.30,35.70,14.17,4.16,0.17,0.00,54
2021-12-07,66.87,33.13,13.77,3.94,0.17,0.00,51
2021-11-30,67.77,32.23,13.66,3.94,0.17,0.00,50
2021-11-23,71.53,28.47,14.04,4.00,0.40,0.00,47
2021-11-16,72.01,27.99,14.04,4.00,0.40,0.00,46
2021-11-09,69.83,30.17,15.27,4.28,0.85,0.00,51
2021-11-02,70.34,29.66,15.27,4.35,0.85,0.00,50
2021-10-26,67.77,32.23,14.24,6.11,0.91,0.00,54
2021-10-19,66.37,33.63,14.98,6.51,0.91,0.00,56
2021-10-12,65.68,34.32,15.65,7.26,1.99,0.00,59
2021-10-05,64.60,35.40,17.11,9.43,2.37,0.00,64
2021-09-28,64.93,35.07,18.58,9.51,3.13,0.00,66
2021-09-21,61.53,38.47,18.32,8.10,3.05,0.00,68
2021-09-14,61.92,38.08,19.43,8.95,4.61,0.74,72
2021-09-07,67.18,32.82,21.17,9.20,4.68,0.74,69
2021-08-31,64.12,35.88,22.22,10.03,4.81,0.86,74
2021-08-24,61.58,38.42,24.24,14.76,8.21,1.03,87
2021-08-17,61.66,38.34,22.81,14.96,7.24,1.03,84
2021-08-10,62.32,37.68,22.32,13.37,5.99,0.94,80
2021-08-03,65.81,34.19,22.75,13.72,5.07,0.00,76
2021-07-27,67.10,32.90,23.27,13.05,2.81,0.00,72
2021-07-20,65.94,34.06,24.16,12.49,2.36,0.00,73
2021-07-13,60.37,39.63,25.66,10.40,0.65,0.00,76
2021-07-06,53.93,46.07,29.74,10.17,0.15,0.00,86
2021-06-29,51.07,48.93,29.47,6.33,0.15,0.00,85
2021-06-22,46.70,53.30,33.40,8.58,0.15,0.00,95
2021-06-15,46.25,53.75,29.76,8.36,0.31,0.00,92
2021-06-08,45.97,54.03,23.49,4.48,0.00,0.00,82
2021-06-01,57.48,42.52,14.42,2.03,0.00,0.00,59
2021-05-25,54.42,45.58,14.31,1.47,0.00,0.00,61
2021-05-18,63.43,36.57,15.00,1.54,0.00,0.00,53
2021-05-11,67.25,32.75,14.31,0.75,0.00,0.00,48
2021-05-04,49.23,50.77,18.94,0.75,0.00,0.00,70
2021-04-27,47.47,52.53,18.79,0.75,0.00,0.00,72
2021-04-20,61.05,38.95,13.77,0.75,0.00,0.00,53
2021-04-13,61.97,38.03,9.91,0.77,0.00,0.00,49
2021-04-06,51.99,48.01,11.31,1.05,0.17,0.00,61
2021-03-30,53.31,46.69,11.38,0.79,0.16,0.00,59
2021-03-23,51.83,48.17,11.06,0.85,0.16,0.00,60
2021-03-16,53.00,47.00,9.49,0.82,0.16,0.00,57
2021-03-09,52.69,47.31,9.94,0.93,0.25,0.00,58
2021-03-02,63.64,36.36,9.36,0.93,0.25,0.00,47
2021-02-23,62.38,37.62,7.71,0.89,0.25,0.00,46
2021-02-16,62.38,37.62,7.95,1.09,0.30,0.00,47
2021-02-09,66.68,33.32,8.32,1.38,0.30,0.00,43
2021-02-02,65.96,34.04,8.82,1.38,0.30,0.00,45
2021-01-26,63.42,36.58,9.58,1.44,0.30,0.00,48
2021-01-19,62.85,37.15,9.45,1.65,0.30,0.00,49
2021-01-12,62.80,37.20,9.45,1.65,0.34,0.00,49
2021-01-05,65.70,34.30,9.42,1.65,0.34,0.00,46
2020-12-29,61.43,38.57,10.44,1.70,0.34,0.00,51
2020-12-22,57.71,42.29,13.89,1.70,0.34,0.00,58
2020-12-15,59.47,40.53,13.89,1.84,0.34,0.00,57
2020-12-08,58.31,41.69,11.62,1.84,0.34,0.00,55
2020-12-01,56.09,43.91,13.29,2.21,0.47,0.00,60
2020-11-24,58.30,41.70,17.42,2.92,0.57,0.00,63
