Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,62.52,37.48,19.02,10.15,3.91,1.77,72
2023-06-20,54.05,45.95,22.72,11.20,4.02,1.61,86
2023-06-13,57.59,42.41,20.87,10.60,2.73,1.46,78
2023-06-06,49.62,50.38,22.29,9.99,2.73,1.46,87
2023-05-30,48.04,51.96,24.38,9.62,2.81,1.46,90
2023-05-23,43.06,56.94,26.58,11.58,2.65,0.95,99
2023-05-16,42.31,57.69,26.27,11.60,2.43,0.72,99
2023-05-09,31.87,68.13,38.50,15.42,6.91,0.89,130
2023-05-02,30.46,69.54,42.45,15.26,6.78,0.90,135
2023-04-25,31.49,68.51,43.45,14.99,7.15,0.92,135
2023-04-18,31.19,68.81,42.91,16.24,4.93,0.76,134
2023-04-11,28.13,71.87,44.00,17.24,4.94,0.76,139
2023-04-04,22.53,77.47,44.96,17.47,5.01,0.76,146
2023-03-28,22.43,77.57,48.10,16.98,5.01,0.76,148
2023-03-21,19.91,80.09,49.87,17.56,5.16,0.71,153
2023-03-14,19.78,80.22,52.82,19.89,5.96,0.71,160
2023-03-07,19.53,80.47,56.81,20.35,5.96,0.71,164
2023-02-28,18.85,81.15,59.01,20.50,6.78,0.85,168
2023-02-21,15.59,84.41,62.51,21.40,6.93,1.27,176
2023-02-14,14.94,85.06,62.46,22.28,6.93,1.37,178
2023-02-07,14.93,85.07,63.24,23.62,7.86,1.37,181
2023-01-31,15.71,84.29,62.91,29.14,9.88,1.35,188
2023-01-24,14.13,85.87,61.02,29.63,9.96,1.35,188
2023-01-17,14.21,85.79,61.79,30.56,10.59,1.35,190
2023-01-10,14.17,85.83,61.63,31.93,10.59,1.35,191
2023-01-03,14.17,85.83,62.11,32.29,10.87,1.66,193
2022-12-27,10.27,89.73,64.04,35.45,12.90,2.41,205
2022-12-20,10.73,89.27,64.22,35.45,12.90,2.41,204
2022-12-13,10.41,89.59,69.40,40.27,14.61,2.44,216
2022-12-06,10.41,89.59,70.02,40.61,14.61,2.44,217
2022-11-29,10.41,89.59,71.51,39.64,14.61,2.44,218
2022-11-22,9.17,90.83,72.06,39.92,15.46,2.44,221
2022-11-15,8.87,91.13,71.93,39.91,15.26,2.44,221
2022-11-08,8.14,91.86,72.26,42.20,15.33,2.11,224
2022-11-01,8.14,91.86,73.34,39.87,13.70,1.65,220
2022-10-25,8.42,91.58,71.21,35.58,13.68,1.82,214
2022-10-18,9.39,90.61,69.56,34.43,12.78,1.82,209
2022-10-11,10.89,89.11,66.74,32.64,10.15,1.82,200
2022-10-04,11.33,88.67,64.73,31.26,9.27,1.82,196
2022-09-27,7.91,92.09,66.86,31.81,9.06,1.69,202
2022-09-20,9.79,90.21,62.17,30.10,6.95,1.66,191
2022-09-13,13.46,86.54,50.06,27.06,6.30,1.52,171
2022-09-06,22.54,77.46,46.34,22.61,6.12,1.52,154
2022-08-30,22.65,77.35,44.61,19.83,5.02,0.93,148
2022-08-23,26.17,73.83,43.48,19.38,4.86,0.73,142
2022-08-16,27.21,72.79,43.14,19.55,4.75,0.73,141
2022-08-09,33.62,66.38,43.91,21.39,5.67,0.73,138
2022-08-02,35.62,64.38,42.85,20.99,4.82,0.07,133
2022-07-26,37.11,62.89,45.45,21.67,4.82,0.00,135
2022-07-19,37.42,62.58,46.09,22.09,4.64,0.16,136
2022-07-12,37.95,62.05,46.33,20.06,4.49,0.77,134
2022-07-05,35.52,64.48,47.44,24.02,4.95,0.78,142
2022-06-28,33.85,66.15,51.06,24.63,4.56,0.81,147
2022-06-21,27.82,72.18,52.10,24.26,5.95,0.81,155
2022-06-14,25.13,74.87,53.12,23.87,7.78,1.09,161
2022-06-07,19.09,80.91,64.71,27.19,7.51,1.19,182
2022-05-31,17.38,82.62,69.72,35.23,8.71,0.18,196
2022-05-24,15.24,84.76,74.44,43.83,10.56,0.47,214
2022-05-17,14.80,85.20,75.56,44.88,11.61,0.47,218
2022-05-10,13.17,86.83,78.36,46.29,8.10,0.22,220
2022-05-03,12.24,87.76,78.75,47.67,8.71,0.10,223
2022-04-26,12.20,87.80,78.96,53.60,17.55,0.10,238
2022-04-19,10.82,89.18,81.19,56.14,21.04,0.10,248
2022-04-12,10.23,89.77,81.59,54.57,19.92,0.10,246
2022-04-05,10.10,89.90,81.60,54.23,19.04,0.02,245
2022-03-29,10.94,89.06,81.42,54.68,19.52,0.02,245
2022-03-22,11.71,88.29,79.60,49.54,19.19,0.02,237
2022-03-15,11.20,88.80,82.18,54.72,18.98,0.02,245
2022-03-08,11.20,88.80,82.11,54.28,16.97,1.02,243
2022-03-01,10.48,89.52,82.65,54.40,17.45,1.01,245
2022-02-22,7.10,92.90,81.89,51.63,17.04,1.37,245
2022-02-15,7.04,92.96,81.89,51.79,16.62,1.44,245
2022-02-08,7.68,92.32,77.45,51.70,15.98,1.96,239
2022-02-01,8.50,91.50,72.59,51.78,17.02,1.96,235
2022-01-25,8.49,91.51,72.75,51.77,17.50,1.96,235
2022-01-18,9.65,90.35,72.54,51.55,17.68,1.82,234
2022-01-11,9.68,90.32,71.60,50.34,20.78,2.30,235
2022-01-04,9.67,90.33,72.88,50.77,21.12,3.55,239
2021-12-28,9.00,91.00,73.49,51.16,23.16,5.16,244
2021-12-21,6.59,93.41,75.20,54.35,23.69,5.16,252
