Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,79.28,20.72,10.79,0.80,0.00,0.00,32
2023-06-20,80.53,19.47,8.93,0.82,0.00,0.00,29
2023-06-13,81.05,18.95,7.94,0.82,0.00,0.00,28
2023-06-06,80.62,19.38,7.59,1.09,0.00,0.00,28
2023-05-30,80.66,19.34,7.90,1.34,0.00,0.00,29
2023-05-23,83.22,16.78,7.96,1.34,0.00,0.00,26
2023-05-16,82.42,17.58,8.39,1.56,0.29,0.00,28
2023-05-09,81.60,18.40,8.64,1.73,0.38,0.00,29
2023-05-02,81.25,18.75,9.16,2.60,0.67,0.00,31
2023-04-25,81.25,18.75,9.16,2.60,0.67,0.00,31
2023-04-18,80.14,19.86,9.21,2.76,0.72,0.00,33
2023-04-11,78.90,21.10,9.21,2.80,0.72,0.00,34
2023-04-04,77.40,22.60,10.09,2.86,0.72,0.00,36
2023-03-28,75.98,24.02,9.75,3.84,0.72,0.16,38
2023-03-21,75.02,24.98,16.02,4.22,0.84,0.16,46
2023-03-14,75.00,25.00,16.78,5.62,1.58,0.16,49
2023-03-07,74.51,25.49,16.75,5.85,1.69,0.16,50
2023-02-28,75.27,24.73,17.00,5.75,1.69,0.16,49
2023-02-21,75.27,24.73,17.00,5.75,1.69,0.16,49
2023-02-14,76.98,23.02,15.42,5.75,1.69,0.16,46
2023-02-07,77.20,22.80,15.42,5.75,1.70,0.16,46
2023-01-31,77.62,22.38,14.75,5.84,1.75,0.16,45
2023-01-24,77.62,22.38,14.39,5.84,1.75,0.16,45
2023-01-17,76.81,23.19,14.35,6.37,1.99,0.16,46
2023-01-10,75.03,24.97,14.17,7.56,3.02,0.16,50
2023-01-03,75.01,24.99,15.00,7.57,3.06,0.16,51
2022-12-27,72.58,27.42,15.98,7.57,3.06,0.16,54
2022-12-20,72.58,27.42,16.42,7.57,3.06,0.16,55
2022-12-13,72.58,27.42,16.42,7.57,3.06,0.16,55
2022-12-06,71.92,28.08,17.39,7.72,3.16,0.16,56
2022-11-29,71.35,28.65,18.82,7.72,3.16,0.16,58
2022-11-22,71.35,28.65,19.18,7.72,3.16,0.16,59
2022-11-15,71.35,28.65,19.18,7.79,3.16,0.16,59
2022-11-08,71.35,28.65,19.32,8.02,3.37,0.16,60
2022-11-01,70.19,29.81,24.61,10.18,3.90,0.16,69
2022-10-25,70.19,29.81,23.69,10.64,3.90,0.16,68
2022-10-18,70.19,29.81,23.56,10.31,3.90,0.16,68
2022-10-11,70.19,29.81,21.09,8.24,3.90,0.16,63
2022-10-04,70.19,29.81,19.34,8.24,3.90,0.16,61
2022-09-27,70.29,29.71,18.36,7.80,3.90,0.16,60
2022-09-20,72.54,27.46,17.47,7.75,3.90,0.16,57
2022-09-13,75.74,24.26,15.74,7.75,3.90,0.16,52
2022-09-06,79.42,20.58,12.75,7.75,3.90,0.16,45
2022-08-30,78.42,21.58,12.75,7.75,3.90,0.16,46
2022-08-23,78.44,21.56,12.65,7.75,3.90,0.16,46
2022-08-16,79.42,20.58,12.65,7.75,3.90,0.16,45
2022-08-09,80.42,19.58,12.45,7.82,3.95,0.16,44
2022-08-02,77.73,22.27,13.47,8.00,4.23,0.21,48
2022-07-26,67.04,32.96,13.41,7.87,4.07,0.21,59
2022-07-19,56.09,43.91,17.83,7.85,4.04,0.21,74
2022-07-12,51.01,48.99,24.20,8.73,4.04,0.21,86
2022-07-05,49.69,50.31,25.59,8.73,4.04,0.21,89
2022-06-28,49.01,50.99,23.93,8.31,4.04,0.21,88
2022-06-21,48.85,51.15,21.37,7.92,4.04,0.21,85
2022-06-14,49.63,50.37,22.01,8.40,5.02,0.23,86
