Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,69.04,30.96,5.48,0.03,0.00,0.00,36
2023-06-20,60.19,39.81,7.83,0.03,0.00,0.00,48
2023-06-13,60.50,39.50,7.01,0.00,0.00,0.00,47
2023-06-06,70.84,29.16,4.92,0.18,0.00,0.00,34
2023-05-30,80.74,19.26,2.31,0.87,0.00,0.00,22
2023-05-23,87.28,12.72,3.40,1.66,0.92,0.00,19
2023-05-16,83.53,16.47,5.63,1.56,0.97,0.00,25
2023-05-09,81.63,18.37,5.85,1.54,0.70,0.00,26
2023-05-02,82.67,17.33,6.37,1.54,0.58,0.00,26
2023-04-25,77.90,22.10,11.33,4.91,0.64,0.00,39
2023-04-18,78.37,21.63,11.36,4.99,0.51,0.00,38
2023-04-11,76.78,23.22,10.02,5.82,0.10,0.00,39
2023-04-04,67.94,32.06,10.02,6.01,0.49,0.00,49
2023-03-28,70.93,29.07,10.07,4.73,0.49,0.00,44
2023-03-21,76.24,23.76,9.41,1.99,0.00,0.00,35
2023-03-14,79.38,20.62,9.17,1.07,0.00,0.00,31
2023-03-07,77.87,22.13,9.99,0.42,0.00,0.00,33
2023-02-28,85.38,14.62,7.56,0.00,0.00,0.00,22
2023-02-21,87.48,12.52,3.74,0.00,0.00,0.00,16
2023-02-14,88.89,11.11,3.74,0.00,0.00,0.00,15
2023-02-07,85.75,14.25,3.53,0.87,0.00,0.00,19
2023-01-31,80.87,19.13,4.82,0.83,0.00,0.00,25
2023-01-24,78.71,21.29,8.04,1.04,0.00,0.00,30
2023-01-17,75.72,24.28,11.90,2.00,0.00,0.00,38
2023-01-10,71.58,28.42,11.18,2.26,0.00,0.00,42
2023-01-03,64.24,35.76,12.18,2.79,0.00,0.00,51
2022-12-27,52.34,47.66,19.89,3.07,0.00,0.00,71
2022-12-20,50.42,49.58,19.88,3.07,0.00,0.00,73
2022-12-13,35.84,64.16,30.69,6.39,0.00,0.00,101
2022-12-06,31.97,68.03,39.02,8.55,0.00,0.00,116
2022-11-29,28.93,71.07,46.90,16.08,0.00,0.00,134
2022-11-22,25.86,74.14,47.68,14.09,0.00,0.00,136
2022-11-15,26.38,73.62,46.30,12.93,0.00,0.00,133
2022-11-08,19.50,80.50,50.81,17.17,0.00,0.00,148
2022-11-01,21.45,78.55,50.21,17.71,1.21,0.00,148
2022-10-25,27.59,72.41,49.34,18.33,2.26,0.00,142
2022-10-18,34.98,65.02,37.16,10.06,2.42,0.00,115
2022-10-11,35.84,64.16,25.71,8.01,2.65,0.00,101
2022-10-04,50.83,49.17,13.22,6.08,0.98,0.00,69
2022-09-27,53.21,46.79,11.20,4.16,0.30,0.00,62
2022-09-20,80.58,19.42,8.04,1.31,0.00,0.00,29
2022-09-13,82.82,17.18,5.99,0.59,0.00,0.00,24
2022-09-06,80.58,19.42,6.38,0.47,0.00,0.00,26
2022-08-30,81.60,18.40,8.01,2.96,0.00,0.00,29
2022-08-23,77.25,22.75,8.39,3.86,0.10,0.00,35
2022-08-16,65.76,34.24,13.95,5.03,0.18,0.00,53
2022-08-09,63.26,36.74,16.90,5.92,0.37,0.00,60
2022-08-02,60.22,39.78,19.86,8.51,0.42,0.00,69
2022-07-26,51.55,48.45,22.64,9.71,2.57,0.00,83
2022-07-19,48.52,51.48,22.95,6.32,0.14,0.00,81
2022-07-12,41.37,58.63,22.98,1.56,0.00,0.00,83
2022-07-05,32.52,67.48,29.75,3.81,0.00,0.00,101
2022-06-28,30.82,69.18,23.87,4.72,0.81,0.00,99
2022-06-21,51.00,49.00,14.17,3.47,0.81,0.00,67
2022-06-14,70.02,29.98,10.01,3.47,0.80,0.00,44
2022-06-07,74.00,26.00,9.61,4.04,0.76,0.00,40
2022-05-31,74.96,25.04,9.81,3.95,0.76,0.00,40
2022-05-24,60.66,39.34,10.25,4.15,0.76,0.00,54
2022-05-17,59.14,40.86,13.65,5.12,1.64,0.00,61
2022-05-10,69.16,30.84,13.56,4.59,1.15,0.00,50
2022-05-03,65.37,34.63,13.56,4.33,1.15,0.00,54
2022-04-26,67.27,32.73,14.42,4.68,1.31,0.00,53
2022-04-19,66.82,33.18,14.06,4.31,1.31,0.00,53
2022-04-12,61.08,38.92,19.35,5.73,2.27,0.00,66
2022-04-05,59.38,40.62,22.78,8.49,2.81,0.00,75
2022-03-29,58.44,41.56,24.86,7.92,2.81,0.00,77
2022-03-22,56.88,43.12,24.27,8.77,2.86,0.00,79
2022-03-15,49.33,50.67,30.34,11.17,3.12,0.00,95
2022-03-08,43.80,56.20,31.29,13.48,4.01,0.00,105
2022-03-01,53.52,46.48,23.04,10.99,1.82,0.00,82
2022-02-22,55.64,44.36,19.66,10.40,1.98,0.00,76
2022-02-15,61.37,38.63,15.92,10.23,1.28,0.00,66
2022-02-08,65.95,34.05,14.96,7.81,0.95,0.00,58
2022-02-01,60.48,39.52,18.64,6.82,1.20,0.00,66
2022-01-25,62.43,37.57,18.09,6.82,0.61,0.00,63
2022-01-18,58.99,41.01,18.55,7.47,0.88,0.00,68
2022-01-11,53.97,46.03,20.74,6.37,0.80,0.00,74
2022-01-04,51.57,48.43,19.44,7.00,1.25,0.00,76
2021-12-28,45.91,54.09,23.64,7.43,0.00,0.00,85
2021-12-21,50.65,49.35,21.40,6.90,0.00,0.00,78
2021-12-14,40.46,59.54,22.80,8.13,0.00,0.00,90
2021-12-07,44.28,55.72,23.45,9.41,0.00,0.00,89
2021-11-30,54.92,45.08,18.78,3.84,0.00,0.00,68
2021-11-23,66.59,33.41,12.83,0.00,0.00,0.00,46
2021-11-16,73.80,26.20,9.50,0.00,0.00,0.00,36
2021-11-09,77.77,22.23,5.63,0.00,0.00,0.00,28
2021-11-02,78.96,21.04,4.03,0.00,0.00,0.00,25
2021-10-26,77.01,22.99,1.93,0.00,0.00,0.00,25
2021-10-19,88.56,11.44,0.09,0.00,0.00,0.00,12
2021-10-12,89.22,10.78,0.51,0.00,0.00,0.00,11
