Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,23.83,76.17,38.28,18.25,9.07,1.77,144
2023-06-20,31.70,68.30,37.19,18.08,9.16,1.80,135
2023-06-13,35.48,64.52,38.47,20.73,10.47,3.15,137
2023-06-06,33.84,66.16,41.90,25.95,11.78,3.71,150
2023-05-30,32.34,67.66,46.62,31.71,18.38,6.94,171
2023-05-23,33.53,66.47,51.28,34.81,20.94,8.28,182
2023-05-16,34.21,65.79,55.71,38.94,24.36,9.49,194
2023-05-09,29.27,70.73,58.69,46.71,29.33,11.51,217
2023-05-02,28.85,71.15,59.35,47.09,31.21,11.68,220
2023-04-25,25.22,74.78,60.35,46.67,29.68,14.81,226
2023-04-18,22.88,77.12,61.73,46.75,29.64,14.96,230
2023-04-11,23.18,76.82,62.16,45.68,27.94,13.93,227
2023-04-04,21.87,78.13,66.27,49.81,28.75,12.63,236
2023-03-28,21.88,78.12,66.50,50.53,27.59,11.71,234
2023-03-21,22.59,77.41,65.46,48.97,25.49,11.04,228
2023-03-14,22.89,77.11,65.71,47.73,25.49,9.81,226
2023-03-07,21.50,78.50,65.47,44.06,24.98,9.54,223
2023-02-28,20.65,79.35,65.08,42.62,24.26,9.54,221
2023-02-21,20.28,79.72,64.32,42.39,22.78,9.62,219
2023-02-14,18.52,81.48,62.93,43.38,22.84,9.88,220
2023-02-07,15.51,84.49,64.32,45.03,25.54,10.42,230
2023-01-31,14.06,85.94,64.45,44.98,25.46,10.23,231
2023-01-24,14.43,85.57,66.00,46.03,25.72,10.50,234
2023-01-17,14.64,85.36,66.32,45.96,25.84,10.60,234
2023-01-10,17.57,82.43,64.41,44.49,25.73,10.60,228
2023-01-03,18.73,81.27,63.39,44.03,25.35,10.23,224
2022-12-27,17.87,82.13,62.78,43.57,25.17,10.00,224
2022-12-20,17.87,82.13,62.78,43.57,25.17,10.00,224
2022-12-13,16.11,83.89,65.16,44.51,25.07,10.10,229
2022-12-06,16.39,83.61,65.55,46.53,27.89,11.29,235
2022-11-29,16.43,83.57,65.25,46.53,27.59,11.04,234
2022-11-22,8.30,91.70,73.16,52.46,31.14,11.66,260
2022-11-15,6.84,93.16,74.11,53.01,31.21,11.40,263
2022-11-08,6.23,93.77,74.58,53.94,31.26,11.67,265
2022-11-01,5.14,94.86,79.19,57.45,31.39,12.04,275
2022-10-25,4.19,95.81,82.47,59.71,31.55,11.00,281
2022-10-18,4.48,95.52,79.98,59.67,33.37,11.76,280
2022-10-11,3.95,96.05,80.62,59.17,35.35,11.09,282
2022-10-04,7.24,92.76,78.68,57.80,32.17,9.10,270
2022-09-27,9.80,90.20,71.99,49.12,26.79,8.47,247
2022-09-20,13.98,86.02,70.63,48.34,24.79,6.53,236
2022-09-13,14.45,85.55,68.71,47.21,21.81,3.30,227
2022-09-06,13.92,86.08,70.08,46.95,22.03,3.02,228
2022-08-30,7.95,92.05,79.20,59.64,32.62,5.75,269
2022-08-23,6.77,93.23,86.13,71.41,41.77,10.26,303
2022-08-16,4.39,95.61,90.26,80.56,55.53,19.54,342
2022-08-09,3.86,96.14,92.11,81.79,57.18,20.57,348
2022-08-02,4.39,95.61,91.71,80.12,49.46,15.05,332
2022-07-26,4.18,95.82,92.02,78.38,49.36,13.50,329
2022-07-19,4.04,95.96,87.52,70.94,41.60,13.51,309
2022-07-12,8.42,91.58,79.51,58.03,36.55,13.75,279
2022-07-05,16.18,83.82,69.02,50.35,33.15,10.55,247
2022-06-28,19.90,80.10,68.93,49.52,31.87,10.50,241
2022-06-21,21.59,78.41,66.26,49.46,31.96,11.32,237
2022-06-14,23.61,76.39,65.04,48.60,31.10,11.11,232
2022-06-07,24.89,75.11,65.54,50.26,30.78,10.55,232
2022-05-31,24.03,75.97,67.75,54.62,34.75,12.55,246
2022-05-24,21.78,78.22,70.44,57.31,37.40,15.32,259
2022-05-17,18.26,81.74,73.78,60.79,46.34,20.88,284
2022-05-10,18.92,81.08,72.39,59.91,43.34,17.73,274
2022-05-03,14.38,85.62,75.18,61.32,42.59,16.84,282
2022-04-26,11.80,88.20,76.57,64.77,42.46,14.72,287
2022-04-19,10.80,89.20,80.84,66.04,43.47,12.10,292
2022-04-12,10.04,89.96,81.27,66.28,38.73,10.92,287
2022-04-05,11.11,88.89,79.79,64.59,32.52,8.09,274
2022-03-29,10.90,89.10,81.97,64.65,33.83,6.23,276
2022-03-22,9.46,90.54,82.04,65.11,32.73,5.57,276
2022-03-15,4.00,96.00,87.34,68.04,37.59,8.23,297
2022-03-08,4.10,95.90,85.94,65.91,33.97,6.40,288
2022-03-01,5.52,94.48,80.16,57.12,25.43,0.51,258
2022-02-22,8.70,91.30,79.06,52.12,24.14,0.49,247
2022-02-15,10.70,89.30,77.87,53.17,26.06,0.49,247
2022-02-08,11.70,88.30,77.77,50.79,24.39,0.49,242
2022-02-01,7.35,92.65,80.34,60.23,29.45,0.49,263
2022-01-25,5.82,94.18,81.62,59.20,29.44,0.49,265
2022-01-18,6.74,93.26,80.81,56.23,25.13,0.35,256
2022-01-11,6.70,93.30,78.55,54.46,21.77,0.00,248
2022-01-04,10.63,89.37,75.80,49.34,17.86,0.00,232
2021-12-28,14.46,85.54,67.79,38.10,10.75,0.00,202
2021-12-21,18.47,81.53,61.06,26.72,3.67,0.00,173
2021-12-14,19.46,80.54,54.51,22.58,1.83,0.00,159
2021-12-07,23.72,76.28,52.50,18.79,0.96,0.00,149
2021-11-30,30.98,69.02,45.12,14.72,0.49,0.00,129
2021-11-23,36.04,63.96,35.25,11.26,0.49,0.00,111
2021-11-16,40.40,59.60,31.42,8.67,0.28,0.00,100
2021-11-09,42.34,57.66,29.03,6.05,0.13,0.00,93
2021-11-02,41.26,58.74,29.48,6.57,0.13,0.00,95
2021-10-26,41.61,58.39,24.93,4.55,0.13,0.00,88
2021-10-19,47.13,52.87,21.49,2.91,0.13,0.00,77
2021-10-12,42.41,57.59,22.56,4.14,0.25,0.00,85
2021-10-05,46.86,53.14,19.66,4.67,0.49,0.00,78
2021-09-28,40.13,59.87,19.84,4.96,0.44,0.00,85
2021-09-21,59.42,40.58,11.87,1.32,0.03,0.00,54
2021-09-14,71.80,28.20,4.82,0.55,0.00,0.00,34
2021-09-07,82.34,17.66,2.52,0.30,0.00,0.00,20
2021-08-31,80.05,19.95,3.80,0.30,0.00,0.00,24
2021-08-24,84.90,15.10,3.50,0.16,0.00,0.00,19
2021-08-17,84.13,15.87,3.19,0.16,0.00,0.00,19
2021-08-10,85.05,14.95,3.34,0.16,0.00,0.00,18
2021-08-03,87.94,12.06,2.22,0.16,0.00,0.00,14
2021-07-27,88.90,11.10,1.25,0.00,0.00,0.00,12
2021-07-20,87.72,12.28,2.49,0.00,0.00,0.00,15
2021-07-13,84.81,15.19,3.70,0.74,0.00,0.00,20
2021-07-06,88.64,11.36,4.11,0.74,0.00,0.00,16
2021-06-29,83.57,16.43,6.02,3.64,0.74,0.00,27
2021-06-22,76.98,23.02,8.98,4.98,2.84,0.74,41
2021-06-15,82.84,17.16,8.76,4.98,2.84,0.74,34
2021-06-08,82.36,17.64,8.97,5.08,2.84,0.74,35
2021-06-01,77.61,22.39,13.38,7.05,4.09,1.59,49
2021-05-25,64.49,35.51,17.38,10.26,5.75,3.14,72
2021-05-18,54.68,45.32,22.63,13.09,7.73,3.77,93
2021-05-11,39.75,60.25,32.72,18.12,10.74,4.99,127
2021-05-04,40.42,59.58,33.37,18.25,10.64,4.99,127
2021-04-27,28.43,71.57,47.24,25.45,15.71,6.19,166
2021-04-20,30.64,69.36,48.90,25.40,15.30,5.69,165
2021-04-13,28.45,71.55,53.95,26.97,15.45,5.42,173
2021-04-06,29.20,70.80,53.20,25.82,14.99,5.42,170
2021-03-30,32.73,67.27,48.12,22.72,12.96,4.35,155
2021-03-23,31.82,68.18,47.44,23.95,12.98,4.39,157
2021-03-16,25.53,74.47,51.38,26.11,11.94,3.97,168
2021-03-09,20.34,79.66,52.33,24.65,13.70,3.88,174
2021-03-02,32.28,67.72,44.67,23.28,12.96,3.18,152
2021-02-23,35.48,64.52,42.61,21.85,12.33,2.72,144
2021-02-16,37.99,62.01,38.35,21.82,12.11,3.32,138
2021-02-09,36.44,63.56,39.69,23.28,13.55,3.53,144
2021-02-02,42.79,57.21,38.32,22.30,13.12,3.48,134
2021-01-26,43.21,56.79,39.63,21.86,12.71,3.35,134
2021-01-19,36.74,63.26,42.78,25.78,14.71,3.86,150
2021-01-12,36.45,63.55,42.43,25.29,13.94,3.79,149
2021-01-05,27.06,72.94,48.91,28.83,14.44,5.21,170
2020-12-29,18.77,81.23,67.54,37.16,21.34,8.28,216
2020-12-22,18.64,81.36,67.59,37.04,20.96,8.28,215
2020-12-15,17.50,82.50,65.74,36.06,19.62,8.28,212
2020-12-08,13.36,86.64,66.47,34.05,18.20,8.28,214
2020-12-01,12.68,87.32,66.61,33.02,17.76,8.28,213
2020-11-24,10.84,89.16,71.34,34.19,15.81,6.06,217
2020-11-17,12.02,87.98,63.42,29.60,13.73,5.78,200
2020-11-10,23.90,76.10,46.85,22.35,12.85,5.47,164
2020-11-03,36.17,63.83,39.64,18.76,9.17,2.50,134
2020-10-27,32.16,67.84,41.09,22.50,10.09,3.00,145
2020-10-20,35.92,64.08,40.43,20.92,10.11,3.00,139
