Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4,DSCI
2023-06-27,66.70,33.30,10.39,1.93,0.00,0.00,46
2023-06-20,66.82,33.18,11.14,1.93,0.00,0.00,46
2023-06-13,64.05,35.95,12.39,2.28,0.00,0.00,51
2023-06-06,59.73,40.27,13.01,2.69,0.00,0.00,56
2023-05-30,57.62,42.38,13.14,3.82,0.12,0.00,59
2023-05-23,57.70,42.30,13.86,4.37,0.61,0.00,61
2023-05-16,56.18,43.82,15.29,4.42,1.01,0.04,65
2023-05-09,55.80,44.20,15.29,4.15,1.02,0.04,65
2023-05-02,55.81,44.19,15.83,4.55,1.02,0.04,66
2023-04-25,55.80,44.20,15.81,4.55,0.85,0.04,65
2023-04-18,54.14,45.86,16.61,4.87,0.85,0.04,68
2023-04-11,54.24,45.76,18.55,4.77,0.85,0.04,70
2023-04-04,46.44,53.56,24.86,5.32,0.86,0.04,85
2023-03-28,42.08,57.92,33.89,7.44,0.86,0.04,100
2023-03-21,36.37,63.63,44.30,13.78,0.92,0.04,123
2023-03-14,33.50,66.50,46.19,16.56,0.92,0.04,130
2023-03-07,27.29,72.71,49.46,23.99,1.06,0.04,147
2023-02-28,24.13,75.87,52.90,27.82,2.47,0.04,159
2023-02-21,18.13,81.87,65.88,31.12,2.47,0.04,181
2023-02-14,17.27,82.73,66.11,31.19,2.47,0.04,183
2023-02-07,12.43,87.57,66.21,31.19,3.28,0.04,188
2023-01-31,12.29,87.71,70.04,34.77,6.85,0.04,199
2023-01-24,12.04,87.96,70.33,34.92,6.85,0.04,200
2023-01-17,10.47,89.53,69.63,40.34,8.05,0.04,208
2023-01-10,7.47,92.53,72.31,42.22,9.14,0.04,216
2023-01-03,4.56,95.44,74.39,51.15,16.43,0.31,238
2022-12-27,4.45,95.55,74.80,57.97,19.17,2.21,250
2022-12-20,4.45,95.55,74.80,57.97,19.17,2.21,250
2022-12-13,4.10,95.90,75.05,58.05,19.20,2.21,250
2022-12-06,3.56,96.44,76.38,59.72,22.68,3.69,259
2022-11-29,1.82,98.18,77.08,59.89,25.90,3.69,265
2022-11-22,1.82,98.18,77.08,60.74,27.16,3.69,267
2022-11-15,1.82,98.18,77.05,60.74,27.16,3.69,267
2022-11-08,1.82,98.18,77.06,61.76,27.69,4.71,269
2022-11-01,1.57,98.43,77.34,63.11,28.13,4.71,272
2022-10-25,1.14,98.86,78.37,63.42,28.56,4.71,274
2022-10-18,1.14,98.86,79.08,63.82,27.99,4.89,275
2022-10-11,0.78,99.22,81.61,66.31,28.02,4.89,280
2022-10-04,0.75,99.25,86.67,67.65,28.94,4.96,287
2022-09-27,0.23,99.77,86.71,67.59,28.88,4.92,288
2022-09-20,0.21,99.79,89.14,69.55,28.93,4.92,292
2022-09-13,0.21,99.79,90.13,71.30,28.94,4.92,295
2022-09-06,0.19,99.81,91.04,74.79,30.48,4.94,301
2022-08-30,0.19,99.81,91.04,74.83,31.87,4.98,302
2022-08-23,0.24,99.76,92.03,76.51,33.69,5.00,307
2022-08-16,0.17,99.83,94.93,77.87,37.05,5.06,315
2022-08-09,0.17,99.83,95.97,82.59,41.71,6.43,327
2022-08-02,0.19,99.81,96.57,84.71,48.26,11.69,341
2022-07-26,0.53,99.47,97.67,85.86,49.47,12.68,345
2022-07-19,0.53,99.47,98.71,89.19,51.28,12.86,352
2022-07-12,0.38,99.62,98.71,89.19,51.08,12.90,352
2022-07-05,0.38,99.62,98.65,91.46,55.22,11.03,356
2022-06-28,0.38,99.62,98.65,91.92,55.54,11.12,357
2022-06-21,0.40,99.60,98.96,93.55,62.19,19.36,374
2022-06-14,0.40,99.60,98.86,93.54,62.21,19.08,373
2022-06-07,0.60,99.40,98.85,93.50,61.49,17.97,371
2022-05-31,0.49,99.51,98.89,93.58,59.90,16.97,369
2022-05-24,0.47,99.53,98.89,93.67,59.96,16.97,369
2022-05-17,0.40,99.60,98.92,91.00,55.48,11.89,357
2022-05-10,0.42,99.58,98.87,89.72,52.52,6.57,347
2022-05-03,0.34,99.66,98.93,89.72,44.68,6.57,340
2022-04-26,0.34,99.66,98.95,89.74,41.50,4.75,335
2022-04-19,0.31,99.69,96.64,88.75,40.27,2.86,328
2022-04-12,0.11,99.89,96.89,88.94,38.62,2.86,327
2022-04-05,0.12,99.88,96.90,88.02,34.37,2.62,322
2022-03-29,0.01,99.99,94.83,82.05,32.66,2.52,312
2022-03-22,0.01,99.99,94.84,81.86,30.67,2.52,310
2022-03-15,0.00,100.00,94.81,81.71,29.79,2.18,309
2022-03-08,0.12,99.88,94.78,78.53,23.02,2.18,298
2022-03-01,0.16,99.84,94.46,77.68,22.78,1.96,297
2022-02-22,0.16,99.84,90.89,65.88,18.23,1.91,277
2022-02-15,0.14,99.86,90.78,64.92,16.26,1.91,274
2022-02-08,0.00,100.00,90.77,64.35,16.26,1.91,273
2022-02-01,0.00,100.00,90.73,64.30,16.00,1.91,273
2022-01-25,0.20,99.80,89.87,64.30,16.06,1.78,272
2022-01-18,1.06,98.94,89.87,64.08,13.99,1.39,268
2022-01-11,1.06,98.94,89.87,64.08,13.99,1.39,268
2022-01-04,1.03,98.97,89.84,64.45,18.99,1.62,274
2021-12-28,0.88,99.12,91.03,73.34,29.29,1.62,294
2021-12-21,0.72,99.28,94.28,76.26,49.21,10.56,330
2021-12-14,0.46,99.54,94.21,76.34,48.65,12.14,331
2021-12-07,0.00,100.00,94.45,76.53,48.71,13.55,333
2021-11-30,0.03,99.97,93.91,76.46,48.69,13.55,333
2021-11-23,0.03,99.97,92.76,73.73,47.76,13.55,328
2021-11-16,0.10,99.90,91.55,73.71,47.15,16.03,328
2021-11-09,0.29,99.71,90.85,73.69,47.14,16.03,327
2021-11-02,0.43,99.57,90.44,74.06,47.95,16.95,329
2021-10-26,0.66,99.34,90.44,73.84,48.47,16.94,329
2021-10-19,1.53,98.47,90.12,73.89,51.86,18.78,333
2021-10-12,1.80,98.20,90.12,73.95,51.94,19.27,333
2021-10-05,2.50,97.50,90.61,74.76,54.31,19.54,337
2021-09-28,2.61,97.39,91.40,74.82,55.03,19.64,338
2021-09-21,2.63,97.37,92.63,74.72,55.03,19.87,340
2021-09-14,2.68,97.32,92.16,74.48,55.05,19.91,339
2021-09-07,3.19,96.81,91.90,74.47,55.03,19.91,338
2021-08-31,3.16,96.84,93.72,78.11,56.14,21.14,346
2021-08-24,3.15,96.85,93.69,79.14,56.31,24.05,350
2021-08-17,3.02,96.98,94.52,80.94,62.05,27.54,362
2021-08-10,2.92,97.08,95.07,86.81,63.86,27.72,371
2021-08-03,2.69,97.31,95.19,86.87,64.08,28.19,372
2021-07-27,1.72,98.28,95.64,89.05,69.72,29.29,382
2021-07-20,1.61,98.39,96.00,89.86,76.81,37.56,399
2021-07-13,1.60,98.40,96.36,89.74,78.06,41.82,404
2021-07-06,0.89,99.11,96.93,90.96,78.17,41.99,407
2021-06-29,0.36,99.64,97.88,92.54,80.08,42.97,413
2021-06-22,0.35,99.65,97.86,93.00,79.43,43.25,413
2021-06-15,0.67,99.33,97.51,92.86,79.32,43.36,412
2021-06-08,0.75,99.25,97.54,92.93,79.38,43.36,412
2021-06-01,0.33,99.67,98.63,94.04,78.41,42.68,413
2021-05-25,0.33,99.67,98.72,94.06,78.56,43.92,415
2021-05-18,0.33,99.67,98.74,94.40,78.74,40.97,413
2021-05-11,0.33,99.67,98.81,95.01,79.35,41.22,414
2021-05-04,0.18,99.82,98.12,94.62,79.16,38.74,410
2021-04-27,0.18,99.82,98.11,92.81,73.82,38.95,404
2021-04-20,1.03,98.97,97.84,92.12,72.81,39.02,401
2021-04-13,1.24,98.76,97.15,89.87,69.84,39.02,395
2021-04-06,1.24,98.76,96.75,87.78,68.97,38.45,391
2021-03-30,1.23,98.77,96.22,86.28,67.54,38.40,387
2021-03-23,1.14,98.86,96.24,86.34,67.61,38.42,387
2021-03-16,1.05,98.95,96.31,85.00,66.96,37.83,385
2021-03-09,1.04,98.96,96.42,85.00,67.08,37.83,385
2021-03-02,1.04,98.96,96.42,84.51,67.82,37.90,386
2021-02-23,1.03,98.97,94.83,84.67,67.79,37.92,384
2021-02-16,1.00,99.00,94.83,84.85,68.21,35.68,383
2021-02-09,0.99,99.01,94.90,85.14,68.94,37.60,386
2021-02-02,0.77,99.23,95.13,85.22,68.91,37.56,386
2021-01-26,0.65,99.35,97.81,90.23,72.57,38.56,399
2021-01-19,0.62,99.38,97.83,90.90,71.68,39.69,399
2021-01-12,0.62,99.38,97.83,91.08,71.59,39.22,399
2021-01-05,0.62,99.38,97.83,89.82,70.09,39.27,396
2020-12-29,0.67,99.33,97.80,89.82,70.06,39.27,396
2020-12-22,0.68,99.32,97.78,89.82,70.06,39.27,396
2020-12-15,0.68,99.32,97.77,89.82,70.06,39.27,396
2020-12-08,0.66,99.34,97.85,87.83,66.35,39.30,391
2020-12-01,1.58,98.42,92.43,81.10,65.57,39.30,377
2020-11-24,1.27,98.73,92.49,80.89,64.49,33.99,371
2020-11-17,4.31,95.69,91.56,78.21,59.93,19.68,345
2020-11-10,4.23,95.77,91.88,78.33,59.24,12.30,338
2020-11-03,4.25,95.75,90.96,73.25,56.23,8.33,325
2020-10-27,4.24,95.76,90.84,73.29,56.42,8.33,325
2020-10-20,4.24,95.76,90.84,73.29,56.41,8.33,325
2020-10-13,4.24,95.76,90.67,73.06,52.47,6.04,318
2020-10-06,4.24,95.76,90.61,71.39,49.46,6.04,313
2020-09-29,4.30,95.70,90.16,70.65,46.92,4.14,308
2020-09-22,4.39,95.61,90.10,68.51,39.74,2.51,296
2020-09-15,4.51,95.49,89.99,67.72,36.05,1.74,291
2020-09-08,5.79,94.21,85.87,66.76,33.97,0.43,281
2020-09-01,5.92,94.08,84.66,64.52,24.99,0.00,268
2020-08-25,5.99,94.01,84.33,62.23,23.47,0.00,264
2020-08-18,6.24,93.76,82.76,52.38,9.78,0.00,239
2020-08-11,11.05,88.95,79.71,39.79,8.91,0.00,217
2020-08-04,11.04,88.96,79.10,38.73,6.33,0.00,213
2020-07-28,14.45,85.55,71.90,33.88,5.44,0.00,197
2020-07-21,14.33,85.67,67.08,28.26,3.40,0.00,184
2020-07-14,23.55,76.45,56.71,25.96,3.96,0.00,163
2020-07-07,29.42,70.58,50.58,25.61,3.10,0.00,150
2020-06-30,32.84,67.16,49.44,25.71,3.14,0.00,145
2020-06-23,32.75,67.25,49.81,22.67,3.14,0.00,143
2020-06-16,32.75,67.25,49.92,22.29,3.12,0.00,143
2020-06-09,32.74,67.26,49.80,19.93,2.64,0.00,140
2020-06-02,37.84,62.16,48.04,18.99,1.71,0.00,131
2020-05-26,37.66,62.34,46.38,16.94,1.70,0.00,127
2020-05-19,38.53,61.47,45.48,15.97,1.70,0.00,125
2020-05-12,42.73,57.27,40.54,12.97,0.89,0.00,112
2020-05-05,43.51,56.49,38.50,11.58,1.15,0.00,108
2020-04-28,46.13,53.87,33.71,10.75,1.24,0.00,100
2020-04-21,47.53,52.47,31.72,9.90,1.24,0.00,95
2020-04-14,47.62,52.38,31.04,7.44,0.00,0.00,91
2020-04-07,44.07,55.93,34.44,4.91,0.00,0.00,95
2020-03-31,42.14,57.86,34.11,4.85,0.00,0.00,97
2020-03-24,41.06,58.94,28.07,5.02,0.00,0.00,92
2020-03-17,40.94,59.06,31.05,5.02,0.00,0.00,95
2020-03-10,41.40,58.60,32.60,5.21,0.00,0.00,96
2020-03-03,41.22,58.78,28.80,5.21,0.00,0.00,93
2020-02-25,42.74,57.26,24.72,5.21,0.00,0.00,87
2020-02-18,46.43,53.57,20.61,5.43,0.00,0.00,80
2020-02-11,48.90,51.10,21.42,5.43,0.00,0.00,78
2020-02-04,59.36,40.64,18.93,5.58,0.00,0.00,65
2020-01-28,59.31,40.69,18.95,5.60,0.00,0.00,65
2020-01-21,66.60,33.40,18.97,7.56,0.00,0.00,60
2020-01-14,70.04,29.96,18.26,7.57,0.00,0.00,56
2020-01-07,70.50,29.50,18.31,7.58,0.00,0.00,55
2019-12-31,70.92,29.08,18.32,10.73,0.01,0.00,58
2019-12-24,66.22,33.78,19.27,11.85,0.01,0.00,65
2019-12-17,66.22,33.78,19.27,11.85,0.01,0.00,65
2019-12-10,63.51,36.49,19.48,11.93,0.01,0.00,68
2019-12-03,26.07,73.93,25.14,12.87,0.01,0.00,112
2019-11-26,16.34,83.66,36.85,17.51,0.50,0.00,139
2019-11-19,21.05,78.95,38.52,17.93,0.50,0.00,136
2019-11-12,21.87,78.13,38.24,17.29,0.01,0.00,134
2019-11-05,41.02,58.98,33.27,14.85,0.01,0.00,107
2019-10-29,40.99,59.01,33.26,14.84,0.01,0.00,107
2019-10-22,41.79,58.21,33.26,14.84,0.01,0.00,106
2019-10-15,48.40,51.60,25.69,10.61,0.01,0.00,88
2019-10-08,58.86,41.14,25.69,8.67,0.01,0.00,76
2019-10-01,57.55,42.45,27.33,6.37,0.02,0.00,76
2019-09-24,56.71,43.29,26.88,6.40,0.02,0.00,77
2019-09-17,56.60,43.40,26.51,6.40,0.02,0.00,76
2019-09-10,54.40,45.60,23.88,4.45,0.01,0.00,74
2019-09-03,55.45,44.55,12.19,0.63,0.01,0.00,57
2019-08-27,66.72,33.28,10.22,0.64,0.01,0.00,44
2019-08-20,74.77,25.23,4.02,0.05,0.01,0.00,29
2019-08-13,77.98,22.02,2.89,0.05,0.01,0.00,25
2019-08-06,88.54,11.46,2.89,0.05,0.01,0.00,14
2019-07-30,88.96,11.04,2.09,0.04,0.01,0.00,13
2019-07-23,89.21,10.79,2.09,0.04,0.01,0.00,13
2019-07-16,91.09,8.91,2.09,0.04,0.01,0.00,11
2019-07-09,91.02,8.98,2.12,0.03,0.01,0.00,11
2019-07-02,91.14,8.86,2.25,0.04,0.01,0.00,11
2019-06-25,91.07,8.93,2.30,0.06,0.01,0.00,11
2019-06-18,91.07,8.93,2.76,0.06,0.01,0.00,12
2019-06-11,91.06,8.94,2.76,0.06,0.01,0.00,12
2019-06-04,87.69,12.31,5.29,0.05,0.01,0.00,18
2019-05-28,87.05,12.95,5.29,0.05,0.01,0.00,18
2019-05-21,87.06,12.94,5.18,0.03,0.00,0.00,18
2019-05-14,85.96,14.04,5.88,0.22,0.00,0.00,20
2019-05-07,84.76,15.24,5.95,0.29,0.00,0.00,21
2019-04-30,84.67,15.33,6.10,1.42,0.00,0.00,23
2019-04-23,84.35,15.65,6.16,1.38,0.00,0.00,23
2019-04-16,80.65,19.35,9.33,3.28,0.00,0.00,32
2019-04-09,77.64,22.36,9.58,3.28,0.00,0.00,35
2019-04-02,75.74,24.26,9.42,3.28,0.00,0.00,37
2019-03-26,75.46,24.54,9.27,3.28,0.00,0.00,37
2019-03-19,63.61,36.39,10.98,5.42,1.65,0.00,54
2019-03-12,61.51,38.49,13.94,7.47,2.55,0.18,63
2019-03-05,50.74,49.26,27.61,7.80,2.55,0.18,87
2019-02-26,49.96,50.04,28.32,8.15,2.68,0.18,89
2019-02-19,35.34,64.66,39.65,13.00,3.79,0.31,121
2019-02-12,23.35,76.65,42.00,13.59,3.95,0.31,137
2019-02-05,23.91,76.09,42.72,14.03,3.95,0.31,137
2019-01-29,20.73,79.27,46.44,14.00,3.96,0.29,144
2019-01-22,15.09,84.91,62.58,18.74,4.14,0.29,171
2019-01-15,13.87,86.13,69.91,26.34,7.39,3.78,194
2019-01-08,13.89,86.11,70.20,28.70,7.61,3.78,196
2019-01-01,11.96,88.04,71.23,29.88,8.09,3.78,201
2018-12-25,8.03,91.97,71.96,30.74,8.13,3.85,207
2018-12-18,8.10,91.90,71.96,30.92,8.13,3.85,207
2018-12-11,8.11,91.89,71.91,30.92,8.29,3.96,207
2018-12-04,8.11,91.89,71.03,31.62,8.84,3.97,207
2018-11-27,6.36,93.64,72.16,32.02,10.17,4.33,212
2018-11-20,6.36,93.64,70.09,32.21,10.17,4.33,210
2018-11-13,2.68,97.32,64.55,32.73,10.09,4.33,209
2018-11-06,2.68,97.32,65.41,33.21,10.09,4.42,210
2018-10-30,8.22,91.78,64.96,35.62,11.47,4.42,208
2018-10-23,7.90,92.10,70.08,36.97,11.68,4.42,215
2018-10-16,7.78,92.22,70.24,38.33,12.39,4.42,218
2018-10-09,7.08,92.92,72.21,40.86,15.45,4.93,226
2018-10-02,5.36,94.64,73.74,47.90,21.04,5.86,243
2018-09-25,5.36,94.64,74.06,49.22,22.49,5.86,246
2018-09-18,5.27,94.73,74.08,45.20,21.34,5.65,241
2018-09-11,5.11,94.89,74.19,45.20,21.16,5.65,241
2018-09-04,5.48,94.52,74.42,46.30,22.25,5.65,243
2018-08-28,5.38,94.62,74.59,46.34,22.65,5.65,244
2018-08-21,5.20,94.80,73.87,46.74,22.65,5.65,244
2018-08-14,5.17,94.83,74.05,47.26,23.82,5.65,246
2018-08-07,5.17,94.83,72.80,47.61,25.52,6.02,247
2018-07-31,5.19,94.81,72.90,47.35,27.19,6.22,248
2018-07-24,7.10,92.90,70.80,50.46,30.34,6.25,251
2018-07-17,7.37,92.63,70.47,50.46,31.87,7.10,253
2018-07-10,7.37,92.63,70.22,50.40,32.62,7.24,253
2018-07-03,7.61,92.39,69.57,50.46,30.87,7.72,251
2018-06-26,7.89,92.11,69.57,50.51,30.87,7.72,251
2018-06-19,12.09,87.91,67.79,51.30,31.22,7.26,245
2018-06-12,11.85,88.15,68.27,51.53,31.64,7.29,247
2018-06-05,11.85,88.15,68.33,50.72,31.45,7.29,246
2018-05-29,11.89,88.11,68.39,50.92,31.62,7.31,246
2018-05-22,12.08,87.92,68.42,51.11,31.63,7.72,247
2018-05-15,12.07,87.93,68.14,50.90,29.77,6.69,243
2018-05-08,13.07,86.93,67.78,47.02,28.09,4.58,234
2018-05-01,13.00,87.00,67.78,46.99,25.46,4.54,232
2018-04-24,13.00,87.00,67.78,46.33,23.22,4.24,229
2018-04-17,13.00,87.00,67.88,45.79,23.00,2.71,226
2018-04-10,12.93,87.07,67.88,45.79,22.99,1.62,225
2018-04-03,7.87,92.13,65.50,45.51,20.70,0.00,224
2018-03-27,7.87,92.13,65.44,44.49,19.37,0.00,221
2018-03-20,4.02,95.98,67.72,46.06,15.44,0.00,225
2018-03-13,4.02,95.98,67.89,46.34,13.21,0.00,223
2018-03-06,3.33,96.67,67.90,45.34,10.39,0.00,220
2018-02-27,3.33,96.67,67.90,42.61,4.66,0.00,212
2018-02-20,3.26,96.74,67.90,42.50,3.46,0.00,211
2018-02-13,5.51,94.49,67.18,42.97,2.52,0.00,207
2018-02-06,5.44,94.56,66.61,37.73,1.76,0.00,201
2018-01-30,7.60,92.40,65.44,34.28,1.76,0.00,194
2018-01-23,25.53,74.47,53.73,26.53,0.00,0.00,155
2018-01-16,27.51,72.49,52.50,12.42,0.00,0.00,137
2018-01-09,28.67,71.33,52.13,10.53,0.00,0.00,134
2018-01-02,30.84,69.16,41.52,9.27,0.00,0.00,120
2017-12-26,30.87,69.13,38.29,3.14,0.00,0.00,111
2017-12-19,31.51,68.49,35.68,3.14,0.00,0.00,107
2017-12-12,32.53,67.47,34.17,0.40,0.00,0.00,102
2017-12-05,45.18,54.82,33.04,0.40,0.00,0.00,88
2017-11-28,46.52,53.48,27.22,0.47,0.00,0.00,81
2017-11-21,57.70,42.30,14.50,0.47,0.00,0.00,57
2017-11-14,58.71,41.29,13.57,0.47,0.00,0.00,55
2017-11-07,61.49,38.51,13.78,0.52,0.02,0.00,53
2017-10-31,65.63,34.37,12.76,0.52,0.02,0.00,48
2017-10-24,69.03,30.97,8.88,0.13,0.02,0.00,40
2017-10-17,72.03,27.97,5.93,0.16,0.03,0.00,34
2017-10-10,72.29,27.71,5.93,0.16,0.03,0.00,34
2017-10-03,70.75,29.25,5.92,0.16,0.03,0.00,35
2017-09-26,72.26,27.74,6.03,0.16,0.03,0.00,34
2017-09-19,78.97,21.03,6.02,0.17,0.03,0.00,27
2017-09-12,78.98,21.02,6.01,0.16,0.02,0.00,27
2017-09-05,79.00,21.00,6.03,0.17,0.02,0.00,27
2017-08-29,83.44,16.56,5.83,0.17,0.02,0.00,23
2017-08-22,83.44,16.56,5.91,0.15,0.01,0.00,23
2017-08-15,82.06,17.94,5.84,0.13,0.00,0.00,24
2017-08-08,77.83,22.17,5.84,0.45,0.00,0.00,28
2017-08-01,75.89,24.11,5.84,0.45,0.00,0.00,30
2017-07-25,59.58,40.42,7.08,0.45,0.00,0.00,48
2017-07-18,60.64,39.36,10.75,0.34,0.00,0.00,50
2017-07-11,66.68,33.32,10.75,0.33,0.00,0.00,44
2017-07-04,67.83,32.17,9.99,0.33,0.00,0.00,42
2017-06-27,72.95,27.05,9.23,0.35,0.00,0.00,37
2017-06-20,72.83,27.17,9.17,0.33,0.00,0.00,37
2017-06-13,75.29,24.71,9.12,0.32,0.00,0.00,34
2017-06-06,75.16,24.84,9.13,0.32,0.00,0.00,34
2017-05-30,75.15,24.85,9.13,0.32,0.00,0.00,34
2017-05-23,75.79,24.21,9.13,0.32,0.00,0.00,34
2017-05-16,76.78,23.22,9.13,0.32,0.00,0.00,33
2017-05-09,77.37,22.63,8.88,0.43,0.00,0.00,32
2017-05-02,78.65,21.35,5.05,0.43,0.00,0.00,27
2017-04-25,75.25,24.75,5.08,0.50,0.00,0.00,30
2017-04-18,74.38,25.62,5.11,0.51,0.00,0.00,31
2017-04-11,76.09,23.91,5.58,0.51,0.00,0.00,30
2017-04-04,76.23,23.77,5.57,0.51,0.00,0.00,30
